[13.09.2026 18:40:34] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:40:36] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:27] ID:8930466795 | @cevetri | aula | нажал /start
[13.09.2026 18:42:36] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:42:38] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:42] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:43] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:47] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:48] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:49] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:51] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:42:53] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:46:54] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:46:58] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:47:00] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:47:07] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:49:39] ID:8930466795 | @cevetri | aula | нажал /start
[13.09.2026 18:49:43] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:49:44] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:49:49] ID:8930466795 | @cevetri | aula | нажал кнопку: music_pause
[13.09.2026 18:49:51] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:49:53] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:49:55] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:50:17] ID:8930466795 | @cevetri | aula | нажал кнопку: music_pause
[13.09.2026 18:50:19] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:50:21] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:54:44] ID:8930466795 | @cevetri | aula | нажал /start
